rank,num_legs,legs,alt_types,event_ids,combined_decimal,combined_american,combined_implied_prob,combined_conservative_prob,ev_pct,quality_flags
1,2,NYY STRIKEOUTS OVER 7.5 | TB -1,"SPREAD,TOTAL","8a105b91f1d12e353b0236f2f946c271af63c996,6db6568d134f5df21219209469036a5e0afb6764",3.629,263,0.275557,0.396797,43.998,CROSS_EVENT;SHADOW_ONLY
2,2,DET STRIKEOUTS UNDER 8.5 | TB -1,"SPREAD,TOTAL","0ca4cb92aa874e95044a13829b554bd5fb96a8d1,6db6568d134f5df21219209469036a5e0afb6764",3.5539,255,0.281379,0.351008,24.746,CROSS_EVENT;SHADOW_ONLY
3,2,SF HITS UNDER 8.5 | TB -1,"SPREAD,TOTAL","0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4,6db6568d134f5df21219209469036a5e0afb6764",3.4849,248,0.286951,0.351008,22.324,CROSS_EVENT;SHADOW_ONLY

